epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.954,1.54101,1.09696,1.25605,0.95485,0.96501,0.9715,0.71097,1.0126,inf,1.07823,0.00332721,0.00332721,0.00332721
2,468.429,1.04029,0.57519,0.99666,0.95584,0.9727,0.98535,0.78534,0.77695,inf,0.94155,0.0065946,0.0065946,0.0065946
3,695.283,0.94167,0.52772,0.95462,0.96835,0.97905,0.99017,0.82388,0.68017,58.8275,0.90197,0.00979599,0.00979599,0.00979599
4,922.737,0.84005,0.47211,0.92196,0.98628,0.98792,0.99273,0.86738,0.56271,14.5845,0.85434,0.009703,0.009703,0.009703
5,1148.55,0.74353,0.41741,0.89033,0.99199,0.98981,0.99411,0.88896,0.49545,9.8095,0.83169,0.009604,0.009604,0.009604
6,1377.6,0.67958,0.38569,0.87341,0.99308,0.99211,0.99393,0.89885,0.46666,1.20237,0.81998,0.009505,0.009505,0.009505
7,1606.73,0.63162,0.35641,0.86236,0.99557,0.99588,0.99423,0.92018,0.41128,0.28827,0.80876,0.009406,0.009406,0.009406
8,1835.07,0.59695,0.34231,0.85365,0.99492,0.9955,0.99435,0.9209,0.40498,0.90075,0.80832,0.009307,0.009307,0.009307
9,2063.69,0.56978,0.32713,0.84732,0.99678,0.99744,0.99441,0.93549,0.36954,0.63045,0.79642,0.009208,0.009208,0.009208
10,2289.49,0.54262,0.31442,0.84106,0.99758,0.99771,0.99444,0.94377,0.34627,0.5139,0.79065,0.009109,0.009109,0.009109
11,2518.56,0.52282,0.30493,0.83774,0.99536,0.99568,0.99431,0.94583,0.33657,0.35045,0.78617,0.00901,0.00901,0.00901
12,2744.5,0.50756,0.29696,0.83325,0.99808,0.99839,0.99446,0.94635,0.34268,0.2726,0.78861,0.008911,0.008911,0.008911
13,2972.34,0.49552,0.29019,0.83034,0.99817,0.99821,0.99436,0.94866,0.32571,1.22835,0.78406,0.008812,0.008812,0.008812
14,3197.68,0.48209,0.28139,0.82842,0.99784,0.99823,0.99442,0.94841,0.32492,0.26178,0.78188,0.008713,0.008713,0.008713
15,3421.5,0.47111,0.27706,0.82636,0.99797,0.99817,0.99429,0.95843,0.29562,0.23062,0.77559,0.008614,0.008614,0.008614
16,3648.99,0.45598,0.27162,0.82336,0.99824,0.99838,0.99438,0.96219,0.29493,0.20634,0.77448,0.008515,0.008515,0.008515
17,3876.44,0.45054,0.26569,0.82083,0.99792,0.99854,0.99445,0.96188,0.28943,0.25268,0.77316,0.008416,0.008416,0.008416
18,4101.94,0.44003,0.26042,0.81947,0.99814,0.99854,0.99444,0.96838,0.27569,0.18087,0.77143,0.008317,0.008317,0.008317
19,4330.89,0.43036,0.25828,0.81727,0.99815,0.99856,0.99439,0.96986,0.27049,0.19431,0.77051,0.008218,0.008218,0.008218
20,4557.77,0.42434,0.25365,0.81651,0.99825,0.99862,0.99434,0.96799,0.27425,0.18801,0.77137,0.008119,0.008119,0.008119
21,4784.94,0.41723,0.25074,0.8143,0.99839,0.99846,0.99447,0.96915,0.27163,0.1777,0.77217,0.00802,0.00802,0.00802
22,5014.23,0.40748,0.2442,0.81315,0.9983,0.99829,0.99455,0.97178,0.26239,0.18363,0.76825,0.007921,0.007921,0.007921
23,5241.33,0.40284,0.24394,0.81184,0.99838,0.99862,0.9945,0.9728,0.25898,0.18617,0.76935,0.007822,0.007822,0.007822
24,5467.29,0.39896,0.24221,0.81121,0.99855,0.99857,0.99457,0.97518,0.2478,0.18667,0.76541,0.007723,0.007723,0.007723
25,5694.28,0.39167,0.24087,0.81028,0.99831,0.99835,0.99448,0.97624,0.24726,0.21654,0.76473,0.007624,0.007624,0.007624
26,5919.12,0.38621,0.23434,0.80805,0.99858,0.99864,0.99448,0.9789,0.23374,0.17196,0.76252,0.007525,0.007525,0.007525
27,6145.18,0.3803,0.23121,0.80809,0.99845,0.99857,0.99457,0.97796,0.23767,0.34683,0.76448,0.007426,0.007426,0.007426
28,6372.56,0.37903,0.22919,0.80701,0.99814,0.99852,0.99448,0.98017,0.23054,3.36984,0.76326,0.007327,0.007327,0.007327
29,6599.24,0.36969,0.22592,0.80545,0.99858,0.99866,0.99452,0.9817,0.22516,0.17568,0.76247,0.007228,0.007228,0.007228
30,6824.59,0.36518,0.22328,0.80466,0.99848,0.9984,0.99453,0.98133,0.22058,0.21619,0.76025,0.007129,0.007129,0.007129
31,7050.7,0.35912,0.22217,0.80395,0.99865,0.99864,0.99455,0.98003,0.22473,0.17307,0.76148,0.00703,0.00703,0.00703
